,player_0,player_1,player_2,player_3,player_4,level_0,level_1,level_2,level_3,level_4,level_5,age,duration_ms,# tries,target
5576,0.026838461538461537,0.020915384615384613,8.276923076923078e-05,0.006014615384615386,2.171494117647059,0.0036569230769230767,0.5409441405693869,0.028307692307692308,0.4884210526315789,,0.0,,317199.8,5,5
7022,0.029076923076923073,0.024480769230769233,2.1368653846153848e-05,0.008961538461538462,1.991205882352941,0.003176923076923077,0.4055997207717355,0.03253846153846154,0.49473684210526314,11.0,0.0,14.0,290587.0,4,6
4900,0.023769230769230768,0.014538461538461538,0.0,0.0034884615384615384,2.067558823529412,0.0011846153846153847,,0.015307692307692309,,7.0,1.0,27.0,189450.0,2,5
12087,0.008846153846153847,0.005096153846153847,0.03544230769230769,0.005096153846153847,2.2429264705882352,0.0013538461538461536,0.3784622238143132,0.01423269230769231,0.17894736842105263,0.0,1.0,29.0,378506.5,2,4
8956,0.024153846153846154,0.025692307692307688,0.0,0.023923076923076922,1.9392647058823531,0.010115384615384616,0.6377472524949138,0.013346153846153848,0.6842105263157895,1.0,0.0,18.0,223910.0,2,9
12053,0.023576923076923075,0.013653846153846154,0.006884615384615384,0.0027307692307692306,2.170529411764706,0.0011846153846153847,0.5189879812439435,0.007538461538461539,0.4421052631578947,0.0,1.0,18.0,365459.0,2,2
2185,0.013538461538461536,0.03151648351648352,3.864917582417583e-05,0.005328021978021977,1.9417899159663865,0.0020423076923076922,0.6470754185307582,0.011075824175824176,0.4496240601503759,7.0,0.0,14.0,242219.0,14,1
1794,0.0245,0.023916666666666666,1.2410897435897435e-06,0.00442948717948718,2.066607843137255,0.0016493589743589744,0.5402117787177239,0.03536538461538462,,10.0,1.0,23.0,359451.16666666674,12,9
9512,0.027807692307692308,0.030153846153846156,1.0653846153846155e-07,0.02634615384615385,1.9041176470588235,,0.4326935883128275,0.021384615384615387,0.4631578947368421,6.0,0.0,,264400.0,1,1
2714,0.020665384615384624,0.02602096153846155,0.00013103367307692313,0.00682942307692308,2.106614705882353,0.0020713461538461545,0.6020182049480349,0.022769230769230764,0.38736842105263153,9.0,1.0,16.0,216396.1,40,3
